ma_truong,ten_truong,hoc_phi_raw,khu_vuc_truong,dia_chi_truong,nguon_url,thu_thap_luc,source_sha256
DCN,Đại Học Công Nghiệp Hà Nội,"Học phí được xác địnhtheo số tín chỉ học tập trong học kỳ, đơn giá học phí tín chỉ; Đơn giá học phí tín chỉ năm học 2026-2027: đối với chương trình đào tạo chuẩn là 770.000 đồng/tín chỉ học phí, đối với chương trình đào tạo bằng Tiếng Anh là 1.100.000 đồng/tín chỉ học phí. Đơn giá học phí các năm học tiếp theo được điều chỉnh theo quy định của Nhà nước và của Đại học Công nghiệp Hà Nội; Học phí năm thứ nhất của đại học khóa nhập học năm 2026 (chưa bao gồm các học phần giáo dục quốc phòng - an ninh): khoảng từ 25 đến 31 triệu đồng đối với ngành/chương trình đào tạo chuẩn, khoảng từ 36 đến 44 triệu đồng đối với chương trình đào tạo bằng tiếng Anh, tùy theo ngành/chương trình đào tạo;",Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghiep-ha-noi-DCN.html,2026-06-20T16:44:14.186899+00:00,3fcc2815a966da2c6dc12756b5d58d073929fd5fa1fbd3238f7b26a948bec6d0
KHA,Đại Học Kinh Tế Quốc Dân,"Học phí đại học chính quy chương trình chuẩn: theo ngành/chương trình học năm 2026 khoảng từ 20 triệu đồng đến 28 triệu đồng/năm học (dự kiến). Học phí đại học chính quy các chương trình tiên tiến, chương trình chất lượng cao, chương trình định hướng ứng dụng (POHE), chương trình đào tạo bằng tiếng Anh: theo ngành/chương trình học năm 2026 khoảng từ 45 triệu đồng đến 70 triệu đồng/năm học (dự kiến). Lộ trình tăng học phí tối đa 10% cho từng năm và thực hiện theo Nghị định số238/NĐ-CP ngày 03/9/2025 của Chính phủ.",Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-quoc-dan-KHA.html,2026-06-20T16:46:37.145389+00:00,6c61ba14d4fe0b6bca98a43bdab2990d704ec9a1f1e48fc462d4545025dfab83
KSA,Đại Học Kinh Tế TPHCM,"Đại học Kinh tế TPHCM cũng đã công bố học học phí năm 2025. So với năm ngoái học phí các chương trình đào tạo sẽ tăng hơn 200.000 đồng/tín chỉ. Theo đó, học phí các chương trình tiên tiến quốc tế (đã kiểm định quốc tế) học phí tiếng Việt là 1,3 triệu đồng/tín chỉ; tiếng Anh x 1,4; thực hành x 1,2. Học phí chương trình tích hợp chứng chỉ nghề nghiệp quốc tế (ACCA và ICAEW) tiếng Việt là 1,3 triệu đồng/ tín chỉ; tiếng Anh là 1,9 triệu đồng/tín chỉ. Các chương trình tiên tiến (khối ngành III, VII) tiếng Việt là 1,1 triệu đồng/tín chỉ, tiếng Anh x 1,4; thực hành x 1,2. Các chương trình tiên tiến (khối ngành V) tiếng Việt là 1,2 triệu đồng/tín chỉ; tiếng Anh x 1,4; thực hành x 1,2; Cử nhân tài năng tiếng Việt là 1,1 triệu đồng/tín chỉ; tiếng Anh là 1,9 triệu đồng/tín chỉ. Chương trình Asean Coop tiếng Việt là 1,1 triệu đồng /tín chỉ; tiếng Anh là 1,9 triệu đồng /tín chỉ; Mode Coop là 3,29 triệu đồng/tín chỉ. Lộ trình tăng học phí mỗi năm không quá 10%/năm. Riêng đào tạo tại Vĩnh Long, mức học phí năm học 2025 – 2026 bằng 60% học phí của cơ sở tại TPHCM. Trong đó các chương trình tiên tiến quốc tế (đã kiểm định quốc tế) tiếng Việt là 780.000 đồng/tín chỉ; Các chương trình tiên tiến tiếng Việt là 660.000 đồng/tín chỉ. Lộ trình tăng học phí không quá 5%/năm. Giới thiệu trườngTên trường: Trường Đại học Kinh tế Thành phố Hồ Chí Minh - Phân hiệu tại Vĩnh LongMã trường: KSVTên tiếng Anh: University of Economics Ho Chi Minh City - Vinh Long CampusTên viết tắt: UEHĐịa chỉ: 01B Nguyễn Trung Trực, phường Tân Hạnh, tỉnh Vĩnh LongWebsite: https://www.ueh.edu.vn/vinh-long/Trường Đại học Kinh tế TP. Hồ Chí Minh - UEH thành lập ngày 27/10/1976, là một trong các trường đại học trọng điểm của quốc gia, có uy tín, chất lượng trong các lĩnh vực kinh tế, quản lý, kinh doanh, luật, đổi mới sang tạo tại Việt Nam. Ngày 4 tháng 10 năm 2023, Thủ tướng Chính Phủ đã ký Quyết định số 1146/QĐ-TTg chuyển Trường Đại học Kinh tế TP. Hồ Chí Minh thành Đại học Kinh tế TP. Hồ Chí Minh, chính thức trở thành 1 trong 7 cơ sở giáo dục đại học tại Việt Nam hoạt động theo mô hình “Đại học đa ngành, đa lĩnh vực”, đồng nhất và hội nhập với hệ thống các đại học tiên tiến trên thế giới.Trường có số lượng người học thuộc các bậc, hệ đào tạo, từ Cử nhân đến Thạc sĩ, Tiến sĩ được coi là lớn nhất nước với lưu lượng hàng năm hơn 30.000 sinh viên, học viên.Ngày 04/12/2019, Phân hiệu UEH tại tỉnh Vĩnh Long được Bộ Giáo dục và Đào tạo thành lập trên cơ sở tiếp nhận và phát triển Trường Cao đẳng Kinh tế - Tài chính Vĩnh Long. Trường Cao đẳng Kinh tế Tài chính Vĩnh Long (VCEF) thành lập năm 1976, là cơ sở đào tạo có uy tín, chất lượng đối với trình độ cao đẳng, trung cấp, bồi dưỡng, tập huấn ngắn hạn trên các lĩnh vực tài chính, kế toán, quản trị kinh doanh và công nghệ thông tin cho khu vực Đồng bằng sông Cửu Long với hơn 16.313 sinh viên, học sinh trong đó 5.544 người học trình độ Cao đẳng và 10.769 người học trình độ Trung cấp. VCEF đã có gần 30 năm liên kết với UEH đào tạo 3.538 người học có trình độ đại học và sau đại học cho khu vực Đồng bằng sông Cửu Long.Tổ chức, bộ máy, cơ sở vật chất của Phân hiệu UEH tại tỉnh Vĩnh Long được UEH tiếp nhận nguyên trạng từ VCEF với gần 80 Thầy, Cô có trình độ sau đại học, chủ yếu được đào tạo từ UEH cùng đội ngũ các Thầy, Cô được tăng cường từ cơ sở chính của UEH. Giám đốc đầu tiên của Phân hiệu là GS.TS. Nguyễn Đông Phong.Năm 2020, Phân hiệu UEH tại tỉnh Vĩnh Long chính thức được Bộ Giáo dục và Đào tạo cho phép đào tạo trình độ đại học chính quy.",TP. Hồ Chí Minh,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-tphcm-KSA.html,2026-06-20T16:46:41.689848+00:00,47eb77de9caee66faef50d279fcb0715c0fb8df76dbc77c66edba0e12961fa2c
,Đại Học Sư Phạm Thái Nguyên,Mức thu học phí trình độ đại học chính quy Năm học 2026 - 2027 Các năm học từ năm 2027 trở đi Học phí chính quy tính theo tín chỉ 470.000 đ/sinh viên/tín chỉ theo lộ trình và quy định của Bộ GD&ĐT Học phí chính quy tính theo niên chế 1.790.000 đ/sinh viên/tháng,Thái Nguyên,,,,
,Đại Học Trà Vinh,"1. Học phí và chính sách đối với chương trình Đại học Quản trị Kinh doanh,Công nghệ thông tin (Chương trình Tích hợp tiếng Anh – English Integrated Program viết tắt là EIP) Học phí được áp dụng theo quy định chung của Trường, đơn giá học phí được quy định cụ thể theo từng năm học. Tuy nhiên, đơn giá học phí của EIP được định mức 2,0 lần so với mức học phí chương trình đại trà và tính cùng mức học phí cho tất cả môn cơ sở ngành và chuyên ngành, nhằm định vị giá trị, chất lượng của EIP. Đồng thời, để thu hút được người học vào EIP khoá Thứ nhất, Trường sẽ có chính sách giảm học phí thông qua hình thức cấp học bổng bán phần cho sinh viên EIP. Cụ thể SV được giảm 0,5 lần học phí cho toàn khóa học (sinh viên EIP chi đóng học phí như SV chương trình đạirà). Chính sách giảm học phí theo hình thức tài trợ học bổng chỉ áp dụng cho SV đăng ký tham gia EIP từ đầu khoá (đầu Học kỳ II), những SV chương trình đại trà nếu đăng ký tham gia với EIP ở một số môn học phải đóng đủ học phí theo quy định của EIP (2,0 lần). Bên cạnh đó, sinh viên EIP vẫn được hưởng các chính sách về trợ cấp đối với người học, học bổng khuyến khích học tập, học bổng tài trợ theo quy định hiện hành. 2. Học phí và chính sách đối với các chương trình đại trà a. Học phí và các khoản thu được áp dụng theo quy định chung của Trường, đơn giá học phí được quy định cụ thể theo từng năm học. Mức học phí; các khoản thu (nếu có) được trường công bố trên trang thông tin điện tử https://tvu.edu.vn, tại thông báo khi thí sinh trúng tuyển, nhập học. Trong đó: Học phí được tính theo số tín chỉ thực học và thu theo từng học kỳ. Mức học phí các ngành dao động từ 20 đến 35 triệu đồng/học kỳ cho học kỳ đầu tiên (tuỳ theo ngành học). Mức học phí được tính theo công thức Mức học phí = Số tín chi đăng ký học x đơn giá Học phí theo tín chỉ Trong đó: Đơn giá Học phí tín chỉ được xác định theo học phần chung khối đại cương và học phí chuyên ngành. Cụ thể: Học phí tín chỉ các học phần chung khối đại cương: Bậc đại học: 500.000đồng/tín chỉ, Bậc cao đẳng: 390.000 đồng/tín chỉ Học phí chuyên ngành theo niên chế và tín chỉ khoá 2025 (Kể cả tín chỉCo-op). Đơn vị tính: 1.000 đồng",Trà Vinh,,,,
YDS,Đại Học Y Dược TPHCM,Học phí dự kiến: TT Tên ngành 1 Y khoa 88.000.000 đồng/năm học 2 Y học dự phòng 55.000.000 đồng/năm học,TP. Hồ Chí Minh,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-duoc-tphcm-YDS.html,2026-06-20T16:51:52.217191+00:00,954b3abe04de86e214e28edb98466ea77cbed088a4dbfd882b910b374d85a206
,Học viện Báo chí và Tuyên truyền,"Học phí dự kiến với sinh viên chính quy khóa 46 (2026 – 2030)- Các chương trình đào tạo giảng viên lý luận chính trị: Triết học, Chủ nghĩa xã hội khoa học, Kinh tế chính trị, Lịch sử Đảng Cộng sản Việt Nam, Tư tưởng Hồ Chí Minh: miễn học phí. Học phí dự kiến với sinh viên chính quy khóa 46 (2026 – 2030) Các chương trình đào tạo hệ đại trà, dự kiến: 558.800đ/tín chỉ (chưa bao gồm 13 tín chỉ Giáo dục thể chất, Giáo dục Quốc phòng - An ninh). Các chương trình đào tạo đạt kiểm định chất lượng, dự kiến: 1.175.400d/tín chỉ (chưa bao gồm 13 tín chỉ Giáo dục thể chất, Giáo dục Quốc phòng - An ninh).- Các chương trình đào tạo đạt kiểm định chất lượng, gồm: Quảng cáo; Quan hệ công chúng chuyên nghiệp; Quan hệ chính trị và truyền thông quốc tế; Thông tin đối ngoại; Ngôn ngữ Anh; Xã hội học; Biên tập xuất bản; Báo in; Ảnh báo chí; Báo phát thanh; Báo truyền hình; Quay phim truyền hình; Báo mạng điện tử; Truyền thông đại chúng; Truyền thông đa phương tiện; Truyền thông marketing; Xuất bản điện tử; Quản lý công; Truyền thông quốc tế; Công tác xã hội; Quản lý nhà nước; Quản lý kinh tế; Truyền thông chính sách; Chính trị phát triển.- Lộ trình tăng học phí cho từng năm và điều chỉnh theo hướng dẫn của Chính phủ, Bộ Giáo dục và Đào tạo và Học viện Chính trị quốc gia Hồ Chí Minh.",Hà Nội,,,,
,Học Viện Chính Sách và Phát Triển,"Học viện thu Học phí theo quy định của Nhà nước đối với trường đại học công lập tự chủ chỉ thường xuyên. Năm học 2026 – 2027, dự kiến mức học phí cho khoá tuyển sinh năm 2026 (khóa 17) cụ thể như sau: (i) Chương trình hệ chuẩn: 28.000.000 đồng/người học/năm học (ii) Chương trình chất lượng cao: 35.000.000 - 40.000.000 đồng/người học/năm học (iii) Chương trình định hướng nghề nghiệp quốc tế: 35.000.000 đồng/người học/năm học Lộ trình tăng học phí hàng năm thực hiện theo Nghị định số 238/2025/NĐ-CP ngày 03/9/2025 của Chính phủ.",Hà Nội,,,,
,Học Viện Công Nghệ Bưu Chính Viễn Thông,"Học phí trình độ đại hệ chính quy chương trình đại trà năm học 2026-2027 dự kiến: trung bình từ khoảng 35,9 triệu đồng/năm đến 40,7 triệu đồng/năm tùy theo từng ngành/ chương trình học (Trung bình bằng khoảng 75% đến 85% mức trần học phí theo quy định của Nhà nước); Học phí chương trình chất lượng cao trình độ đại học năm học 2026-2027: mức thu học phí trung bình từ khoảng 44,8 triệu đồng/năm đến 58,3 triệu đồng/năm học tùy theo từng ngành/ chương trình học; Học phí chương trình Cử nhân Công nghệ thông tin (định hướng ứng dụng), Thiết kế và phát triển Game, Công nghệ thông tin Việt – Nhật, Trí tuệ nhân tạo năm học 2026-2027: mức thu học phí trung bình từ khoảng 41,3 triệu đồng/năm đến 46,7 triệu đồng/năm học tùy theo từng ngành/ chương trình học; Học phí chương trình liên kết quốc tế năm học 2026-2027: mức thu học phí trung bình từ khoảng 58,3 triệu đồng/năm đến 67,2 triệu đồng/năm tùy theo từng chương trình. Lộ trình tăng học phí cho từng năm thực hiện theo Nghị định số 238/NĐ-CP ngày 03/9/2025 của Chính phủ.",Hà Nội,,,,
,Học Viện Dân Tộc,"Tổng chi phí đào tạo trung bình 01 sinh viên/năm của năm liền trước năm tuyển sinh không quá: 10.000.000 đồng/sinh viên/năm Mức thu học phí năm học 2026 - 2027 (theo Nghị định số 238/2025/NĐ-CP ngày 03/9/2025 của Thủ tướng Chính phủ Quy định về chính sách học phí, miễn, giảm, hỗ trợ học phí, hỗ trợ chi phí học tập và giá dịch vụ trong lĩnh vực giáo dục, đào tạo . Lộ trình tăng học phí thực hiện theo quy định của Bộ GD&ĐT 10.3. Chế độ chính sách Học viện thực hiện chính sách miễn, giảm học phí cho sinh viên thuộc diện chính sách theo các quy định của Bộ GD&ĐT và của pháp luật hiện hành./. Thông tin khác- Học viện thực hiện xét tuyển theo ngành, các phương thức xét tuyển được quy đổi theo quy định của Bộ GD&ĐT và theo thông báo của Học viện; không quy định chênh lệch điểm xét tuyển giữa các tổ hợp; lấy từ cao xuống thấp cho đến hết chỉ tiêu, không phân biệt thứ tự nguyện vọng giữa các thí sinh.- Điểm xét tuyển theo thang 30 và làm tròn đến hai chữ số thập phân.- Đối với thí sinh được miễn thi ngoại ngữ theo quy định tại Thông tư số24/2024/TT-BGDĐT ngày 24/12/2024 về Quy chế thi tốt nghiệp THPT từ năm2026; nếu xét bằng tổ hợp có môn ngoại ngữ, Học viện sẽ quy đổi chứng chỉ ngoại ngữ sang điểm tương đương để tính vào tổ hợp xét tuyển. Việc quy đổi chứng chỉ ngoại ngữ sang điểm số tương đương sẽ được Học viện công bố trong Thông báo tuyển sinh.Thí sinh đã tốt nghiệp THPT trước năm 2026, Học viện thức hiện xét tuyền theo quy chế hiện hành của Bộ GD&ĐT và của Học viện.",Hà Nội,,,,
