ma_truong,ten_truong,ma_nganh,ten_nganh,chi_tieu,phuong_thuc_xet_tuyen,to_hop_mon,khu_vuc_truong,dia_chi_truong,nguon_url,thu_thap_luc,source_sha256
BKA,Đại Học Bách Khoa Hà Nội,IT-E15,An toàn không gian số - Cyber Security (CT tiên tiến),40,ĐGTD BK; ĐT THPT; Kết Hợp CCQT Ưu Tiên,A00; A01; B03; C01; C02; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,IT1,CNTT: Khoa học Máy tính,300,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,IT2,CNTT: Kỹ thuật Máy tính,200,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,ME-LUH,Cơ điện tử - hợp tác với ĐH Leibniz Hannover (CHLB Đức),50,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; D26; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,ME-NUT,Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản),100,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; D28; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,ME-GU,Cơ khí Chế tạo máy - hợp tác với trường ĐH Griffith (Úc),40,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,TE-EP,Cơ khí Hàng không (CT Việt - Pháp PFIEV),40,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; D29; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,TX1,Công nghệ Dệt May,240,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; D07; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,ED2,Công nghệ Giáo dục,120,ĐGTD BK; ĐT THPT; Kết Hợp CCQT Ưu Tiên,A00; A01; B03; C01; C02; D01; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,IT-E7,Công nghệ Thông tin Global ICT (CT tiên tiến),160,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,IT-E6,Công nghệ Thông tin Việt - Nhật (tăng cường tiếng Nhật),160,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; D28; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,IT-EP,Công nghệ Thông tin Việt - Pháp (tăng cường tiếng Pháp),40,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; D29; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,MS3,Công nghệ vật liệu Polyme và Compozit,80,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; D07; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),40,ĐGTD BK; ĐT THPT; Kết Hợp CCQT Ưu Tiên,A00; A01; B03; C01; C02; D26; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,EE-E18,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),60,ĐGTD BK; ĐT THPT; Kết Hợp CCQT Ưu Tiên,A00; A01; B03; C01; C02; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,ET-E9,Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật),80,ĐGTD BK; ĐT THPT; Kết Hợp CCQT Ưu Tiên,A00; A01; B03; C01; C02; D28; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,MI2,Hệ thống Thông tin quản lý,80,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,CH2,Hóa học,160,ĐGTD BK; ĐT THPT; Kết Hợp CCQT Ưu Tiên,A00; B00; B03; C01; C02; D07; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,CH-E20,Hóa học Mỹ phẩm (mới) (CT tiên tiến),40,ĐGTD BK; ĐT THPT; Kết Hợp Ưu Tiên CCQT,A00; A01; B03; C01; C02; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,EM-E17,Kế toán (mới) (CT tiên tiến),80,ĐGTD BK; ĐT THPT; Kết Hợp Ưu Tiên CCQT,A01; B03; C01; C02; D01; D07; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,IT-E10,Khoa học Dữ liệu và Trí tuệ nhân tạo (CT tiên tiến),160,ĐGTD BK; ĐT THPT; Kết Hợp CCQT Ưu Tiên,A00; A01; B03; C01; C02; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,TROY-IT,Khoa học Máy tính - ĐH Troy (Hoa Kỳ) (do ĐH Troy cấp bằng),120,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; D01; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,MI-E22,Khoa học tính toán cho các hệ thống thông minh (mới) (CT tiên tiến),40,ĐGTD BK; ĐT THPT; Kết Hợp Ưu Tiên CCQT,A00; A01; B03; C01; C02; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
BKA,Đại Học Bách Khoa Hà Nội,MS-E3,Khoa học và Kỹ thuật Vật liệu (CT tiên tiến),60,ĐGTD BK; ĐT THPT; Ưu Tiên Kết Hợp CCQT,A00; A01; B03; C01; C02; D07; K00; X02,Hà Nội,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,2026-06-20T16:43:18.438798+00:00,57ecedf44815e97a83deadfd33ea8fdf2745a57879d8ecb00c4699758bf49644
